lifeexpectancyatbirth,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64
Afghanistan,27,27,27,28,28,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,39,40,40,41,41,42,42,43,44,44,45,46,47,48,49,49,50,51,52,52,53,54,54,54,55,55,56,56,57,57,58,58,59,59,60,60,61
Albania,54,54,55,55,56,57,58,59,60,61,62,63,64,65,65,66,66,66,66,67,67,67,68,68,68,69,69,69,70,70,70,70,71,71,71,71,72,72,72,72,72,72,72,72,72,72,72,73,73,74,74,75,75,75,76,76,76,76,76,77,77,77,77
Algeria,42,42,43,43,43,44,44,45,45,46,46,47,47,48,48,48,49,49,50,50,50,51,51,52,52,53,54,55,56,57,58,60,61,62,63,64,65,66,66,66,67,67,67,67,68,68,68,68,69,69,69,69,69,70,70,70,70,70,70,70,71,71,71
Angola,29,29,30,30,31,31,31,32,32,33,33,33,34,34,35,35,35,36,36,37,37,37,38,38,39,39,39,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,42,42,43,43,44,44,45,46,47,47,48,49,49,49,50,50,51,51,51
Argentina,61,62,62,63,63,64,64,64,65,65,65,65,65,65,65,65,66,66,66,66,66,67,67,67,68,68,68,69,69,69,69,70,70,70,70,71,71,71,71,71,72,72,72,72,72,73,73,73,73,74,74,74,74,74,75,75,75,75,75,76,76,76,76
Armenia,62,62,63,63,63,64,64,65,65,66,66,66,67,67,68,68,69,69,69,70,70,70,71,71,71,71,71,71,71,71,71,71,71,71,70,70,69,69,68,68,68,68,68,68,69,69,69,70,70,71,71,72,72,73,73,73,74,74,74,74,74,74,74
Australia,69,69,69,70,70,70,70,70,71,70,71,71,71,71,71,71,71,71,71,71,71,71,72,72,72,73,73,73,74,74,75,75,75,76,76,75,76,76,76,76,77,78,78,78,78,78,79,79,79,80,80,80,80,81,81,81,82,82,82,82,82,82,82
Austria,65,65,67,67,67,68,68,67,68,68,69,70,70,70,70,70,70,70,70,70,70,70,71,71,71,71,72,72,72,73,73,73,73,73,74,74,74,75,75,76,76,76,76,76,77,77,77,78,78,78,78,79,79,79,79,80,80,80,81,80,81,81,81
Azerbaijan,57,57,58,58,59,59,59,60,60,61,61,61,62,62,63,63,64,64,64,65,65,65,65,66,66,65,65,65,65,65,65,65,65,65,65,66,66,66,66,65,65,64,64,64,64,65,65,66,66,66,67,67,68,68,69,69,69,70,70,70,71,71,71
Bahrain,41,42,42,43,44,46,47,48,49,51,52,53,55,56,57,58,60,61,62,63,63,64,65,66,66,67,68,68,69,69,70,70,70,71,71,71,72,72,72,72,72,73,73,73,73,73,74,74,74,74,74,75,75,75,75,75,76,76,76,76,76,76,76
Bangladesh,43,43,43,44,44,45,45,45,46,46,47,48,48,49,49,50,50,50,49,48,48,47,47,47,48,49,50,52,53,54,55,55,56,56,57,57,58,58,59,59,60,61,61,62,62,63,63,64,64,65,65,66,66,67,67,67,68,68,69,69,69,70,70
Belarus,65,65,66,66,67,67,67,68,68,69,72,73,71,72,73,73,73,73,73,73,72,73,73,73,73,72,72,72,72,71,71,71,71,71,71,71,72,72,72,72,71,71,70,69,69,68,69,68,68,68,69,69,68,69,69,69,70,70,69,69,70,70,70
Belgium,66,67,68,68,69,69,69,69,70,70,70,71,70,70,71,71,71,71,71,71,71,71,71,72,72,72,72,73,73,73,73,74,74,74,74,75,75,75,76,76,76,76,76,76,77,77,77,78,78,78,78,78,78,78,79,79,80,79,80,80,80,80,80
Benin,33,33,33,34,34,35,35,36,36,37,37,38,38,39,39,40,40,41,41,42,42,43,44,44,45,45,46,46,46,47,47,48,48,49,49,50,51,51,52,53,54,54,54,55,55,55,55,55,55,55,55,56,56,56,57,57,58,58,58,59,59,59,59
Bolivia,40,40,40,41,41,41,41,42,42,42,43,43,43,44,44,44,45,45,45,45,46,46,47,47,48,48,49,50,50,51,52,53,54,54,55,56,56,57,58,58,59,59,60,60,61,61,62,62,62,63,63,63,64,64,64,65,65,65,66,66,66,67,67
Bosnia_and_Herzegovina,51,52,53,54,55,56,57,58,59,60,60,61,62,62,63,63,64,64,65,66,66,67,67,68,68,69,69,70,70,70,70,71,71,71,72,72,72,71,70,69,67,66,65,66,66,68,70,72,73,74,75,75,75,75,75,75,75,75,76,76,76,76,76
Botswana,47,47,47,48,48,49,49,49,50,50,51,51,51,52,52,52,53,53,54,54,55,55,56,57,57,58,59,59,60,60,61,61,62,62,63,63,63,64,64,63,63,62,62,60,59,58,56,55,53,52,51,49,49,48,47,47,47,46,46,46,47,47,47
Brazil,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,57,58,58,58,59,59,60,60,60,61,61,62,62,62,63,63,63,64,64,64,65,65,66,66,66,67,67,68,68,68,69,69,70,70,70,71,71,71,71,72,72,72,73,73,73,73,74
Bulgaria,61,61,60,64,64,65,65,67,69,67,69,70,70,70,71,71,71,70,71,70,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,72,71,71,71,71,71,71,71,71,71,71,70,71,72,72,72,72,72,73,73,73,73,73,73,73,73,73
Burkina_Faso,30,30,31,31,32,32,33,33,34,34,34,35,35,36,36,37,37,38,38,39,39,40,40,40,41,42,42,43,44,45,46,47,48,48,49,49,49,50,50,50,49,49,49,49,49,49,50,50,50,50,51,51,51,52,52,53,53,54,54,55,55,56,56
Burundi,38,39,39,39,39,40,40,40,41,41,41,42,42,42,43,43,43,43,44,44,44,44,44,45,45,45,46,46,47,47,47,48,48,48,49,49,49,49,48,48,47,47,47,46,46,47,47,47,48,48,48,49,49,49,50,50,51,51,52,52,53,53,54
Cambodia,40,40,40,40,41,41,41,41,41,41,41,41,42,42,42,42,42,43,43,42,42,40,37,33,28,23,20,19,20,24,29,36,42,47,51,53,54,54,54,55,55,55,56,57,57,58,59,59,60,61,62,63,64,65,66,67,68,69,70,70,71,71,72
Cameroon,38,38,38,39,39,39,40,40,41,41,42,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,52,53,53,53,53,53,54,54,54,54,54,53,53,53,53,52,52,52,52,52,52,52,52,52,53,53,53,54,54,55
Canada,68,69,69,69,70,70,70,70,71,71,71,71,71,71,72,72,72,72,72,72,73,73,73,73,73,73,74,74,75,75,75,76,76,76,76,76,77,77,77,77,78,78,78,78,78,78,78,79,79,79,79,80,80,80,80,80,81,81,81,81,81,81,81
Central_African_Rep_,33,33,33,34,34,34,35,35,36,36,36,37,37,38,38,39,39,40,41,41,42,43,44,44,45,46,47,47,48,48,49,49,49,49,49,48,48,48,47,47,46,46,45,45,44,44,44,44,44,44,44,44,44,44,45,45,46,46,47,47,48,49,50
Chad,36,36,36,36,36,37,37,37,37,38,38,38,39,39,39,39,40,40,40,41,41,42,42,43,43,43,44,44,44,44,45,45,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,48,48,48,49,49,50,50,51
Chile,54,54,55,55,55,55,56,56,56,57,57,57,58,58,59,59,60,60,61,61,62,63,63,64,65,65,66,67,68,68,69,70,70,71,71,72,72,73,73,73,74,74,75,75,75,75,75,76,76,76,77,77,77,77,78,78,78,78,79,79,79,79,80
China,39,40,40,45,46,48,50,51,50,38,32,34,45,52,53,56,57,58,59,61,63,64,63,63,62,63,62,64,64,65,66,66,68,68,68,68,69,69,69,69,69,70,70,70,70,70,71,71,71,72,72,73,73,73,74,74,74,74,75,75,75,75,75
Colombia,48,49,50,51,52,53,54,55,56,56,57,57,58,58,59,59,59,60,60,61,61,61,62,62,62,63,63,64,64,65,66,66,67,67,67,68,68,68,68,68,68,68,69,69,69,69,70,70,70,71,71,71,72,72,72,72,73,73,73,73,73,74,74
Comoros,40,40,41,41,41,42,42,42,43,43,43,44,44,45,45,45,46,46,47,47,48,48,49,49,50,50,50,51,51,52,52,52,53,53,54,54,54,55,55,55,56,56,56,56,57,57,57,57,57,58,58,58,58,59,59,59,59,60,60,60,60,60,61
Congo__Dem._ Rep_,38,39,39,39,40,40,40,40,41,41,41,41,42,42,42,42,43,43,43,44,44,44,45,45,45,45,45,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,46,46,46,46,46,46,47,47,47,48,48,48,48,48,49,49,49,50
Congo__ Rep_,42,42,43,44,44,45,46,47,47,48,49,49,50,50,51,51,52,52,53,53,53,54,54,54,55,55,55,55,56,56,56,56,57,57,57,57,57,56,56,56,55,55,54,54,53,53,53,52,52,52,52,52,53,53,54,54,55,55,56,57,57,58,58
Costa Rica,56,56,57,58,58,59,59,60,60,61,62,62,63,63,64,64,65,65,66,66,67,67,68,68,69,69,70,71,71,72,72,73,73,74,74,75,75,75,75,75,76,76,76,76,77,77,77,77,77,78,78,78,78,78,78,78,79,79,79,79,79,79,80
Cote_d_Ivoire,31,31,32,32,33,34,34,35,35,36,37,38,38,39,39,40,41,41,42,43,44,45,45,46,47,48,48,49,50,50,51,51,51,52,52,52,53,53,53,53,52,52,52,51,50,50,49,48,47,47,46,46,46,46,47,47,48,48,49,49,50,50,50
Croatia,60,61,61,62,62,62,63,63,64,64,65,65,66,66,66,67,67,67,68,68,68,69,69,69,69,70,70,70,70,70,70,70,71,71,71,71,72,72,72,72,72,73,73,73,73,74,74,74,75,75,75,75,75,75,75,75,76,76,76,76,77,77,77
Cuba,58,59,59,60,60,61,61,62,63,63,64,64,65,66,66,67,68,68,69,69,70,70,71,71,72,72,73,73,73,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,76,76,76,76,77,77,77,77,78,78,78,78,78,79,79,79,79
Czech_Rep_,64,65,67,68,68,69,69,69,70,70,70,71,70,70,71,70,70,70,70,69,70,70,70,70,70,71,71,71,71,71,70,71,71,71,71,71,71,72,72,72,71,72,72,73,73,73,74,74,75,75,75,75,76,75,76,76,77,77,77,77,77,77,78
Denmark,70,71,71,71,71,72,72,72,72,72,72,72,72,72,73,72,72,73,73,73,73,73,73,74,74,74,74,75,74,74,74,74,75,74,75,75,75,75,75,75,75,75,75,75,76,75,76,76,77,77,77,77,77,78,78,78,78,78,78,79,79,79,79
Djibouti,40,41,41,41,42,42,42,43,43,44,44,44,45,45,46,46,47,47,48,48,49,50,50,51,51,52,52,53,53,53,54,54,54,55,55,55,56,56,56,56,57,57,57,57,57,57,57,57,57,57,57,57,57,57,58,58,58,59,59,60,60,61,61
Dominica_ Rep_,44,45,46,46,47,48,49,50,50,51,52,53,53,54,55,55,56,57,57,58,58,59,60,60,61,61,61,62,62,63,63,63,64,64,65,65,66,66,67,67,68,68,69,69,69,70,70,70,70,70,71,71,71,71,71,72,72,72,72,73,73,73,73
Ecuador,47,48,48,49,49,50,50,51,52,52,53,54,54,55,55,56,56,57,57,57,58,58,59,59,60,60,61,61,62,62,63,64,64,65,65,66,67,67,68,68,69,69,70,70,71,71,72,72,73,73,73,74,74,74,74,75,75,75,75,75,76,76,76
Egypt,38,39,41,42,43,44,45,46,47,47,48,49,49,50,50,51,51,51,52,52,52,53,53,53,54,55,55,56,57,58,58,59,60,60,61,62,63,63,64,64,65,65,65,66,66,67,67,68,68,68,69,69,69,69,69,69,70,70,70,70,70,71,71
El_Salvador,43,44,45,46,46,47,48,49,50,51,51,52,53,53,54,54,55,55,56,56,56,57,57,57,57,57,57,57,57,57,57,57,57,58,59,60,61,62,64,65,66,67,68,68,69,69,69,69,69,70,70,70,70,70,71,71,71,71,71,72,72,72,72
Equatorial_Guinea,34,34,34,35,35,35,36,36,36,36,37,37,37,38,38,38,39,39,39,39,40,40,40,41,41,41,42,42,42,43,43,43,44,44,44,45,45,46,46,46,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,49,49,50,50,51,51,52,53
Eritrea,35,36,36,36,36,36,37,37,37,37,37,38,38,38,38,39,39,39,40,40,41,41,41,42,42,42,42,43,43,43,43,44,44,44,45,45,46,46,47,48,48,49,50,51,52,52,53,54,55,56,56,57,57,58,58,59,59,60,60,61,61,62,62
Estonia,64,65,65,66,66,67,67,68,68,69,69,70,70,70,71,71,71,71,71,70,70,71,70,71,71,70,70,70,70,70,70,69,70,70,70,70,71,71,71,71,70,70,69,68,67,68,70,70,70,70,71,71,71,72,72,73,73,73,73,74,74,74,74
Ethiopia,33,33,34,34,35,35,36,36,37,38,38,39,40,40,41,41,42,42,42,43,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,45,45,46,46,47,47,47,48,48,49,49,50,50,51,52,52,53,54,55,56,57,58,59,60,61,61,62,63
Finland,64,66,67,67,68,67,68,67,69,69,69,69,69,69,69,69,70,70,70,70,70,70,71,71,71,72,72,73,73,73,74,74,75,74,75,74,75,75,75,75,75,75,76,76,77,77,77,77,77,78,78,78,78,79,79,79,79,80,80,80,80,80,80
France,66,66,67,67,68,68,68,69,70,70,70,71,71,70,71,71,72,72,72,71,72,72,72,73,73,73,73,74,74,74,74,75,75,75,75,75,76,76,77,77,77,77,77,78,78,78,78,79,79,79,79,79,80,80,80,80,81,81,81,81,81,82,82
Gabon,36,36,37,37,38,38,38,39,39,39,40,40,40,41,42,42,43,44,45,46,47,47,48,49,50,51,52,52,53,54,55,56,57,57,58,59,60,60,61,61,61,61,61,61,61,61,61,61,60,60,60,60,59,60,60,60,60,61,61,62,62,63,63
Gambia,30,30,30,30,31,31,31,31,32,32,32,32,33,33,34,34,35,35,36,37,38,39,40,40,41,42,43,44,45,45,46,47,48,49,49,50,51,51,51,52,52,52,53,53,53,53,54,54,54,55,55,55,56,56,56,57,57,57,58,58,58,58,59
Georgia,60,60,60,61,61,62,62,62,63,63,64,64,64,65,65,66,66,66,67,67,67,68,68,68,69,69,69,69,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,71,71,71,72,72,72,72,73,73,73,73,73,74,74,74,74,74
Germany,67,67,67,68,68,68,69,69,69,70,70,70,70,70,71,71,71,71,71,71,71,71,71,71,71,72,72,72,73,73,73,73,74,74,74,74,75,75,75,75,75,76,76,76,76,77,77,77,78,78,78,79,79,79,79,79,80,80,80,80,80,80,81
Ghana,41,41,42,42,43,43,44,44,45,45,46,46,47,47,47,48,48,48,49,49,49,50,50,50,51,51,51,51,52,52,52,53,53,53,54,54,55,55,56,56,57,57,57,58,58,58,57,57,57,57,57,57,57,58,58,59,59,60,60,60,61,61,61
Greece,65,65,66,66,66,66,67,67,67,68,68,69,69,69,69,70,70,70,70,71,71,71,72,72,72,72,73,73,73,73,74,74,74,75,75,75,75,76,76,76,77,77,77,77,78,78,78,78,78,78,79,79,79,79,79,79,80,80,80,80,80,80,81
Guatemala,41,42,42,42,43,43,43,44,44,45,46,46,47,47,48,49,49,50,51,51,52,53,53,54,55,55,56,56,56,57,57,58,58,59,59,60,60,61,61,62,62,63,63,64,64,65,65,66,67,67,68,68,69,69,69,70,70,70,70,71,71,71,72
Guinea,33,33,33,33,33,34,34,34,34,35,35,35,35,35,36,36,36,36,36,36,37,37,37,38,38,38,39,40,40,41,41,42,43,44,45,45,46,47,48,49,50,51,51,51,52,52,52,52,51,51,51,51,51,52,52,53,53,54,54,55,55,56,56
Haiti,36,37,37,38,39,39,40,40,41,42,42,43,43,44,44,45,46,46,46,47,47,48,48,48,49,49,49,50,50,50,51,51,51,52,52,53,53,53,54,54,54,55,55,55,56,56,56,57,57,57,57,58,58,58,59,59,60,60,61,61,45,60,63
Honduras,41,41,42,42,43,43,44,44,45,46,46,47,48,48,49,50,50,51,51,52,53,53,54,54,55,56,57,57,58,59,60,60,61,62,63,64,64,65,66,66,67,67,68,68,68,69,69,70,70,70,70,71,71,71,71,71,72,72,72,73,73,73,74
Hong_Kong__China,62,62,63,63,64,65,65,66,66,67,67,68,69,69,70,70,70,71,71,72,72,72,73,73,73,73,74,74,74,75,75,75,75,76,76,76,77,77,77,77,78,78,78,78,78,79,79,79,80,80,80,81,81,81,82,82,82,82,82,83,83,83,83
Hungary,62,62,64,64,65,67,66,66,67,67,68,69,68,69,69,69,70,70,69,69,69,69,70,70,69,69,70,70,69,70,69,69,69,69,69,69,69,70,70,69,69,69,69,69,70,70,71,71,71,71,72,72,73,73,73,73,73,73,73,74,74,74,74
Iceland,71,71,72,72,73,73,73,73,73,73,74,73,74,73,74,74,73,74,74,74,74,74,74,74,74,75,77,76,76,77,77,76,77,77,77,78,78,77,77,78,78,78,79,79,79,78,79,79,80,79,80,81,80,81,81,81,81,81,82,82,82,82,82
India,35,35,36,37,37,38,39,39,40,41,41,42,43,44,44,45,46,47,47,48,49,50,50,51,52,52,53,54,54,55,55,56,56,56,57,57,57,58,58,58,59,59,59,59,60,60,61,61,61,62,62,63,63,63,64,64,64,65,65,65,66,66,66
Indonesia,36,37,38,39,40,41,41,42,43,44,45,46,46,47,48,49,50,50,51,52,52,53,54,54,55,56,56,57,57,58,59,59,60,60,61,61,62,62,63,63,63,64,64,65,65,65,66,66,67,67,67,68,68,68,69,69,69,69,70,70,70,70,71
Iran,39,40,40,41,41,42,43,43,44,44,45,46,46,47,47,48,48,49,50,50,51,52,53,54,54,55,56,56,56,55,54,53,53,53,54,55,57,58,60,62,63,65,66,67,67,68,68,69,69,69,70,70,70,71,71,71,72,72,72,73,73,73,74
Iraq,35,36,37,39,40,42,43,44,46,47,48,49,50,52,53,54,55,56,57,58,58,59,59,60,61,61,61,61,61,61,60,60,60,60,61,62,63,65,66,67,68,69,70,70,71,71,71,71,71,71,71,71,70,70,70,69,69,69,69,69,69,69,69
Ireland,66,65,67,68,68,68,69,69,69,69,70,70,70,70,70,71,70,71,71,71,71,72,71,71,71,72,72,72,72,72,73,73,73,73,74,74,74,75,75,75,75,75,76,75,76,76,76,76,76,76,77,77,78,78,79,79,80,80,80,80,80,80,81
Israel,64,64,65,66,66,67,67,68,68,68,69,69,69,70,70,70,70,71,71,71,71,71,72,72,72,72,73,73,73,73,74,74,74,75,75,75,75,76,76,77,77,77,77,77,78,78,78,78,78,79,79,79,79,80,80,80,80,80,81,81,81,81,82
Italy,66,65,66,67,68,68,68,68,69,69,69,70,69,69,70,70,71,71,71,71,72,72,72,72,73,73,73,73,74,74,74,75,75,75,76,76,76,76,77,77,77,77,77,78,78,78,79,79,79,79,80,80,80,80,81,81,82,81,81,82,82,82,82
Jamaica,57,57,58,59,60,61,62,62,63,64,64,65,65,66,66,67,67,67,68,68,68,69,69,69,69,69,70,70,70,70,71,71,71,71,71,71,71,71,71,71,71,71,71,70,70,70,70,70,70,70,70,71,71,71,71,71,72,72,72,73,73,73,73
Japan,59,61,63,63,65,66,66,66,67,68,68,68,69,70,70,70,71,71,72,72,72,73,73,73,74,74,75,75,76,76,76,77,77,77,78,78,78,79,79,79,79,79,79,80,80,80,80,81,81,81,81,82,82,82,82,82,83,83,83,83,83,83,83
Jordan,45,45,46,47,48,49,49,50,51,52,53,53,54,55,56,57,57,58,59,59,60,61,62,62,63,64,64,65,65,66,66,67,67,67,68,68,69,69,69,70,70,70,70,71,71,71,71,71,71,72,72,72,72,72,72,73,73,73,73,73,73,74,74
Kazakhstan,54,54,55,55,56,56,57,57,58,58,58,59,59,60,60,61,61,61,62,62,63,63,63,63,64,64,64,64,64,65,65,65,66,66,67,67,67,67,67,67,67,66,66,65,64,64,64,63,63,63,64,64,64,65,65,65,65,66,66,66,66,66,66
Kenya,42,42,42,42,43,43,44,44,45,46,46,47,48,48,49,49,50,51,51,52,52,53,53,54,54,55,56,56,57,57,58,58,59,59,59,60,60,60,60,59,59,59,58,58,57,56,55,54,54,53,53,53,53,53,54,55,56,57,58,59,60,60,61
Korea__Dem._Rep_,30,32,36,40,43,45,48,49,50,51,51,52,52,53,53,54,55,57,58,59,60,61,61,62,63,64,64,65,65,66,66,67,67,67,68,68,68,69,69,70,70,70,69,69,68,67,65,65,64,65,65,66,67,68,68,68,69,69,69,69,69,69,70
Korea__Rep_,47,47,48,48,49,50,50,51,52,52,53,54,54,55,56,57,58,59,59,60,61,62,63,63,64,64,65,65,65,66,66,67,67,68,68,69,70,70,71,71,72,72,73,73,73,74,74,75,75,76,76,77,77,78,78,79,79,80,80,80,81,81,81
Laos,40,40,41,41,41,42,42,42,43,43,43,43,44,44,44,45,45,45,46,46,46,47,47,47,47,48,48,48,48,49,49,49,50,50,50,51,51,52,53,53,54,55,56,57,57,58,59,60,60,61,62,62,63,63,64,65,65,66,66,66,67,67,68
